ibge_code,name,slug,uf,uf_name,region,region_name,microrregiao,mesorregiao,flag_status,flag_source,flag_url,flag_file,wikipedia_slug,wikidata_search
1200013,Acrelândia,acrelandia,AC,Acre,N,Norte,Rio Branco,Vale do Acre,pending,,,,Acrelândia,Acrelândia (Acre)
1200054,Assis Brasil,assis-brasil,AC,Acre,N,Norte,Brasiléia,Vale do Acre,pending,,,,Assis_Brasil,Assis Brasil (Acre)
1200104,Brasiléia,brasileia,AC,Acre,N,Norte,Brasiléia,Vale do Acre,pending,,,,Brasiléia,Brasiléia (Acre)
1200138,Bujari,bujari,AC,Acre,N,Norte,Rio Branco,Vale do Acre,pending,,,,Bujari,Bujari (Acre)
1200179,Capixaba,capixaba,AC,Acre,N,Norte,Rio Branco,Vale do Acre,pending,,,,Capixaba,Capixaba (Acre)
1200203,Cruzeiro do Sul,cruzeiro-do-sul,AC,Acre,N,Norte,Cruzeiro do Sul,Vale do Juruá,pending,,,,Cruzeiro_do_Sul,Cruzeiro do Sul (Acre)
1200252,Epitaciolândia,epitaciolandia,AC,Acre,N,Norte,Brasiléia,Vale do Acre,pending,,,,Epitaciolândia,Epitaciolândia (Acre)
1200302,Feijó,feijo,AC,Acre,N,Norte,Tarauacá,Vale do Juruá,pending,,,,Feijó,Feijó (Acre)
1200328,Jordão,jordao,AC,Acre,N,Norte,Tarauacá,Vale do Juruá,pending,,,,Jordão,Jordão (Acre)
1200344,Manoel Urbano,manoel-urbano,AC,Acre,N,Norte,Sena Madureira,Vale do Acre,pending,,,,Manoel_Urbano,Manoel Urbano (Acre)
1200351,Marechal Thaumaturgo,marechal-thaumaturgo,AC,Acre,N,Norte,Cruzeiro do Sul,Vale do Juruá,pending,,,,Marechal_Thaumaturgo,Marechal Thaumaturgo (Acre)
1200336,Mâncio Lima,mancio-lima,AC,Acre,N,Norte,Cruzeiro do Sul,Vale do Juruá,pending,,,,Mâncio_Lima,Mâncio Lima (Acre)
